stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
24hpf,0,8.28,0,0,0,0,0
2dpf,1.33,0,0,0.52,0.52,0,0
3dpf,4.92,0,0,0,14.57,4.47,0
5dpf,0.29,0,0.69,1.01,21.51,1.16,0.65
10dpf,5.63,0.62,0,0,20.49,0.46,0.93
