stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,15.39,0,0,0,0,0,0,0,0
12hpf,24.47,0,0,0,0,0,0,0,0
14hpf,14.2,0,7.28,0,0,0,0,2.48,0
16hpf,52.2,0,41.39,0,0,0,0,0,0
19hpf,20.68,0,13.19,0,0,0,0,0,0
24hpf,32.73,0,1.09,0,0,0,0,0.84,0
2dpf,90.48,1.33,18.62,2.1,13.25,1.53,0,5.78,3.65
3dpf,41.23,0,4.46,0,8.88,0,0,0.64,1.33
5dpf,64.77,0,5.57,0.47,18.27,1.3,0.45,3.12,2.13
10dpf,29.98,0,4.53,0,5.76,0,0,0,1.71
