stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,21.19,0,0,0,9.29,0
14hpf,0,0,0,0,0,8.3
2dpf,1.32,1.86,1.15,0.67,0,0
3dpf,2.61,4.51,8.46,0,0,1.38
5dpf,0,2.4,4.93,0,0,1.76
10dpf,0.42,5.32,3.95,0,0,0
