stage,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
3dpf,0,0,0.57,0.77,0.34
5dpf,0,0.71,0,0,8.67
10dpf,2.44,0,0,0.6,10.09
