stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme
2dpf,1.01,0.71,0,0,0
3dpf,1.12,1.6,0,0,0
5dpf,0,29.1,0,1.07,0.52
10dpf,0.47,33.95,0.72,0,0.89
