stage,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
14hpf,0,2.74,0,0,0
16hpf,0,1.78,0,0,0
2dpf,0,0,0,0,0.75
5dpf,0,0,1.63,0.37,1.45
10dpf,0.74,0,0,0,0
