stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
3dpf,0.79,0,0,0.73,0.38
5dpf,0,0.33,1.15,1.55,0
10dpf,0,0,0,0.97,0
