stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,23.1,0,0,0,0,0,0,0,0
12hpf,44.37,0,0,0,0,0,0,4.57,0
14hpf,22.66,0,0,2.73,0,0,0,2.71,0
16hpf,78,0,0,10.04,0,0,1.89,10.01,0
19hpf,49.79,0,0,13.64,0,0,0,0,0
24hpf,36.12,0,0,0,0,2.02,0,1.76,1.16
2dpf,145.59,0.73,0,18.29,0.75,1.62,0,3.87,1.79
3dpf,81.72,0.68,0,7.7,2.28,0,0,0,2.2
5dpf,74.14,0.96,1.22,10.69,2.79,0.92,0,0,3.37
10dpf,63.86,1.35,0,19.19,0,0,0,1.31,1.84
