stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,periderm
2dpf,4.01,0,0,0,1.12
3dpf,1.9,0,0.37,0.78,0
5dpf,6.64,0.78,0,0,0
10dpf,0.6,0,0,0,0.93
