stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm
16hpf,0,0,0,0,0,3.79,0
24hpf,0,0,0,0,1.82,0.95,0
2dpf,2,0,0,0,1.34,11.36,5.41
3dpf,57.96,0,0.36,2.34,0.92,79.59,3.08
5dpf,2.21,0,0.49,0,0,2.09,0.62
10dpf,19.88,3.03,0,14.9,0,18.2,0.56
