stage,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,1.28
3dpf,0,0,0.44,0
5dpf,0,0.72,2.02,1.99
10dpf,1.44,0,0.68,0
