stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme,notochord,periderm
24hpf,0,0,0,0,0.89,0
3dpf,0,0,0,0.35,0,1.49
5dpf,1.33,0,0.99,4.93,0,18.83
10dpf,0,1.44,0,0,0,32.93
