stage,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
3dpf,0.48,0,0,0.4,0
5dpf,0,0.97,0.6,0.76,0
10dpf,0.44,0.42,1.02,0,1.35
