stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,4.38,0,0,1.41,0,0,0
3dpf,4.39,0,0.46,4.28,0,0.41,0
5dpf,0.69,0,0,2.17,0.67,0.31,0.32
10dpf,6.16,0.56,0,0.85,0,0.61,0
