stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,4.18,0,0,1.89,2.44,0,0,1.02
3dpf,5.24,0,1.93,0.45,10.28,0.35,0,0.86
5dpf,0.63,0,0.59,2.43,11.98,0,0.34,2.13
10dpf,5.09,0.55,4.07,0.69,10.1,1.56,0,0.6
