stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,notochord,periderm
2dpf,0,0,0,0,0,0.85
3dpf,0,1.32,0,0.5,0,0.34
5dpf,1.08,0.87,0,2.69,0.48,14.24
10dpf,1.79,5.91,0.65,0,0,1.92
