stage,central_nervous_system,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0.79,1.74,1.03,0,0
3dpf,0.89,1.35,0,0,0.54
5dpf,0,4.38,0,0.36,0
10dpf,0.75,2.98,0,0.65,0
