stage,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
24hpf,2.03,0,0,0,0
2dpf,7.83,0,1.77,0,0.48
3dpf,2.25,0,0,0,0
5dpf,50.27,0.89,0.59,0.36,2.32
10dpf,12.13,0,0.82,0,0
