stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,42.17,0,0,0,0,0,0,0,0
12hpf,45.25,0,0,0,0,0,0,0,0
14hpf,61.07,0,0,0,0,0,0,0,0
16hpf,71.85,0,0,14.19,0,0,0,2.02,0
19hpf,100.58,0,0,10.45,0,0,0,0,0
24hpf,78.05,0,1.77,0.94,0,0.93,0,2.19,0
2dpf,252.45,0,0,14.48,1.96,21.32,4.48,2.34,6.05
3dpf,32.25,0.53,0,4.48,0.33,2.52,0.32,0,1.98
5dpf,54.97,0.35,0.6,3.75,0,4.19,0,0,1.46
10dpf,12.87,0,0,14.09,0,0,0,0,0.53
