stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
3dpf,2.85,1.25,0.86,0,0.38,0,0.54
5dpf,0,0.67,4.19,0.33,4.25,0,1.64
10dpf,2.48,2.47,35.25,0,0.48,0.85,0
