stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,notochord,periderm
14hpf,0,0,0,0,0,0,2.32,0
2dpf,0,2.08,2.4,0.76,1.31,3.52,0,12.21
3dpf,0.37,0.36,1.34,0.66,1.5,0,0,2.25
5dpf,0.34,2.51,12.44,0,0.93,1.17,0.37,14.27
10dpf,2.39,0.37,5.48,0,0,3.88,0,2.48
