stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,mesenchyme
2dpf,0,0,0,0,1.4
3dpf,1.89,0,0,0.78,0
5dpf,0,0,0.52,1.06,0.73
10dpf,0.54,1.08,0,2.36,0
