stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,periderm
2dpf,2,0,0.84,0,0.55
3dpf,0.31,0.33,0,0,1.21
5dpf,0,0,0,0.79,4.94
10dpf,0,0,0,0.56,11.54
