stage,central_nervous_system,hematopoietic_system,mesenchyme,neural_crest,paraxial_mesoderm,periderm
3dpf,0,0,0.75,0,0,0
5dpf,0,0.63,0,0.65,0,2.03
10dpf,1.87,5.18,3.16,0,0.96,0
