stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,21.63
12hpf,0,0,0,0,0,0,0,0,1.85
14hpf,0,0,0,0,0,0,0,0,277.15
16hpf,1.71,0,0,0,0,0,0,1.72,32.46
19hpf,0,0,0,0,0,0,0,0,327.03
24hpf,0,0,0,0.93,0,0,0,0,53.56
2dpf,21.41,0,0.51,17.13,8.76,14.49,0,3.09,853.8
3dpf,17.22,11.08,0.76,3.38,4.58,32.02,0,0.46,279.88
5dpf,25.8,0.92,2.38,10.87,4.27,28.39,2.1,8.26,1246.26
10dpf,9.12,0.54,5.87,4.69,3.05,26.12,2.31,2.02,237.31
