stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,8.32,8.87,0,0,0,0,0,0,8.59
12hpf,16,0,2.33,1.83,0,0,0,0,11.68
14hpf,3.13,0,0,0,0,2.32,0,0,0
16hpf,12.92,1.73,0,1.62,0,0,0,2.26,0
19hpf,27.87,0,0,0,0,0,0,0,3.41
24hpf,16.73,0,1.32,3.11,0.92,0,0.9,0,1.74
2dpf,40.65,0,6.54,12.4,18.94,0.48,0,3.52,3.26
3dpf,62.65,0,3.58,2.31,19.79,0.67,0,0,0.54
5dpf,10.96,0,0.74,2.44,22.61,1.9,0,0,2.49
10dpf,16.1,1.22,0,1.04,11.14,0,0,0,0
