stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,67.05
12hpf,14.27,0,0,0,0,0,0,0,107.16
14hpf,4.64,0,0,2.49,0,0,0,0,39.48
16hpf,0,0,3.02,0,1.9,0,0,0,29.87
19hpf,0,0,8.33,1.75,0,0,2.37,0,18.03
24hpf,0.96,0,0,3.48,1.46,0,0,0,11.16
2dpf,1.32,0,8.23,3.04,20.48,0.66,0,0,4.89
3dpf,1.71,0.77,1.1,0,76.31,0.92,0,0,0
5dpf,2.6,1.13,0.63,1.89,65.44,1.38,0,1.11,6.77
10dpf,1.32,0,2.21,0,86.4,1.55,0,2.91,0
