stage,central_nervous_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,0,1.63
3dpf,0,0,0,0,6.47
5dpf,0.42,0,0,0,6.98
10dpf,0,0.98,0.49,1.43,0
