stage,central_nervous_system,intermediate_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0.57,0,0,0,0
3dpf,6.4,0.29,1.87,0,0.33
5dpf,0.84,0,3.59,0,1
10dpf,8.92,0.38,4.52,2.01,0.78
