stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,1.97,0,0,0,0,0,0
3dpf,2.47,1.25,0,0.83,0,0,0
5dpf,2.6,0,0.95,0,0.3,0.32,0.73
10dpf,2.94,0,0.51,2.53,0,0.55,0
