stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
3dpf,1.14,1.25,0,0.95,0,0,0
5dpf,1.59,0.57,0,0,1.13,0.75,1.79
10dpf,3.31,0,0.63,0,1.83,0,0
