stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0,0,0,0,2.69
3dpf,0.39,0,0,0.29,0.52,0,0
5dpf,0,0.41,3.87,0,1.13,0.36,0
