stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
24hpf,2.12,0,0,0,0,0,0,0
2dpf,19.07,0,2.21,7.23,0.51,0.63,0.85,7.71
3dpf,80.94,0.32,0.33,5.83,0.3,0,0.67,0
5dpf,18,3.72,0,11.54,0,0,0.86,3.13
10dpf,82.57,0.48,0,15.79,0,0,0.72,2.57
