stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,notochord,paraxial_mesoderm,periderm
2dpf,0.88,0,0,0.67,0,0,0
3dpf,0.66,3.94,0,1.32,0,0,0
5dpf,0,0.29,0,0.5,0.33,1.07,0.87
10dpf,3.19,15.43,0.48,0.76,0,0,0
