stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,102.96,0,0,0,71,0,0,52.7,61.31,63.23
12hpf,78.61,9.66,0,8.6,34.84,9.32,0,47.49,28.01,45.13
14hpf,38.22,0,7.56,15.23,9.02,8.51,0,0,10.29,30.85
16hpf,57.19,12.1,3.65,30.02,31.07,7.1,0,1.79,26.52,38.42
19hpf,137.71,0,0,23.21,17.38,3.17,0,0,1.5,22.45
24hpf,156.1,1.1,2.62,29.79,31.38,16.64,1.68,2.72,10.42,19.12
2dpf,487.06,4.86,23.53,80.31,207.59,345.65,38.89,4.83,74.6,129.44
3dpf,959.4,7.29,7.67,18.65,26.09,254.48,6.01,0,14.03,30.76
5dpf,169.26,18.44,47.88,79.96,39.67,463.44,52.57,10.62,66.02,206.34
10dpf,632.26,36.09,47.78,100.55,30.53,438.04,25.31,0,51.68,87.13
