stage,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm,periderm
3dpf,0.46,0,0,0,0
5dpf,3.66,1.51,1.89,0,0.97
10dpf,4.3,0,1.84,2.93,0
