stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,10.09,0,0,0,0,0,0,0,0
12hpf,37.96,0,0,4.27,0,0,0,2.05,15.43
14hpf,17.07,0,2.46,0,0,0,0,0,4.69
16hpf,9.57,0,0,0,3.56,1.77,0,12.15,3.99
19hpf,14.88,0,0,0,1.62,0,0,0,3.73
24hpf,15.22,0.92,1.92,1.81,3.56,0,0,1.66,1.79
2dpf,34.06,3.55,2.3,5.47,18.83,12.39,5.65,13.96,16.44
3dpf,41.92,7.11,2.6,0.68,4.72,11.43,3.7,1.05,9.22
5dpf,12.29,8.26,15.22,8.06,5.51,40.32,3.7,11.86,38.52
10dpf,47.29,8.51,11.65,5.6,1.85,12.93,4.82,7.94,9.2
