stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,neural_crest,notochord,periderm
2dpf,2.91,0,0,0,0,0,0
3dpf,4.63,0.31,0,0,0.38,0,0
5dpf,3.11,1.97,0.74,1.49,0.99,0.72,0.83
10dpf,5.44,2.96,0,0,1.57,0,0
