stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,29.69,0,0,0,0,0,0,0,0
12hpf,95.9,0,0,0,0,0,2.31,7.43,0
14hpf,31.56,0,0,0,0,0,0,2.54,0
16hpf,59.02,0,17.52,0,0,0,0,6.29,0
19hpf,52.7,0,22.33,0,0,0,0,0,0
24hpf,40.39,0,1.09,0.87,0,0.87,0,4.1,0
2dpf,183.17,0,15.79,15.73,9.29,2,0,4.06,13.68
3dpf,50.86,0.34,5.05,1.01,2.47,0,0,0.42,3.93
5dpf,55.73,2.12,7.08,2.21,10.06,0,1.44,0.84,12.54
10dpf,43.61,0,9.73,0,0,0,0,0,2.67
