stage,central_nervous_system,endoderm,mesenchyme,neural_crest,periderm
2dpf,3.66,0,3.72,0,0
3dpf,18,1,4.61,0,0
5dpf,0,0.61,9.51,0.37,0.38
10dpf,9.18,3.75,1.2,1.38,0
