stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm
2dpf,2.69,0.98,0.81,0.81,0.59,1.19
3dpf,0.36,0,0,0,0,0
5dpf,0.41,0,0,0.34,0,0
10dpf,0,0,0,1.38,0,0
