stage,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
2dpf,1.19,0,0,0.74,3.83
3dpf,0,0,0.95,0,0
10dpf,1.47,3.41,0,0,0.71
