stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,0,146.96
12hpf,20.16,0,0,0,0,0,0,6.81,1103.99
14hpf,0,0,0,2.5,0,0,0,0,301.52
16hpf,28.52,0,0,0,1.64,0,9.62,0,1332.76
19hpf,0,0,0,0,0,0,0,0,668.02
24hpf,4.28,0,0,0,0,0,0,0,236.18
2dpf,1.92,0,0,1.23,0,0.75,0,0,17.49
3dpf,11.7,4.17,0.36,1.57,0.71,2.33,0,0,48.62
5dpf,6.37,0.8,2.71,0.99,0,17.64,0,0.64,83.32
10dpf,8.41,8.21,2.33,5.17,1.46,7.54,0,1.43,171.03
