stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,notochord,periderm
14hpf,0,0,0,0,2.32,0
24hpf,0,0.85,0,0,0,0
2dpf,0,2.14,0,0,0,0
5dpf,0,24.3,0,0.66,0,1.95
10dpf,1.28,114.99,0.57,0.58,0,0.64
