stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,0,0,0,0,0,0,0,41.95,0
12hpf,0,0,0,0,0,0,0,83.14,0
14hpf,0,0,0,0,0,0,0,320.9,0
16hpf,1.68,0,0,0,8.06,0,0,514.93,0
19hpf,0,0,0,0,6.34,0,0,211.77,0
24hpf,0,0,1.03,0,9.78,0.91,0,454.44,0
2dpf,9.09,0.82,0.69,0.63,24.06,6.83,2.48,104.14,4.28
3dpf,0.95,0,0,0,0.85,5.15,0,35.06,0.97
5dpf,7.07,0,2.3,2.56,3,23.09,0,112.4,11.94
10dpf,1.38,0.62,5.64,0,0.46,4.1,0,46.78,0
