stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,9.54,0,0,0,0,0,0,0,0
12hpf,1.88,13.29,0,1.95,6.89,0,0,0,5.93
14hpf,18.22,10.73,0,9.68,0,0,0,0,0
16hpf,6.45,0,3.96,7.78,2.03,1.75,0,1.71,9.07
19hpf,12.05,0,0,2.13,2.07,0,0,0,7.57
24hpf,22.25,0,4.78,0.82,0.83,7.17,2.92,0,6.46
2dpf,230.95,8.89,24.72,42.34,31.98,96.07,25.98,22.49,128.79
3dpf,308.22,7.27,5.32,30.47,10.41,85.49,3.27,5.01,48.7
5dpf,219.14,13.47,58.53,94.61,17.21,138.39,15.9,29,233.36
10dpf,298.25,17.11,55.43,42.75,2.32,74.54,9.66,8.34,109.01
