stage,central_nervous_system,intermediate_mesoderm,mesenchyme,notochord,paraxial_mesoderm
2dpf,0,0,2.08,0,0.72
3dpf,1.6,0,0,0,0
5dpf,0.72,1.13,1.01,0.77,0.51
10dpf,0.45,0.62,0,0,0
