stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,paraxial_mesoderm
16hpf,1.85,0,0,0
2dpf,0,0,0.63,0
3dpf,1.31,0,0,0
5dpf,0,0.74,0,0
10dpf,0.57,0,0,0.84
