stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,35.91,0,0,0,0,0,0,0,0
12hpf,8.73,0,0,0,0,0,0,0,0
14hpf,2.55,0,0,0,0,0,0,0,0
16hpf,22.39,0,0,3.51,0,0,0,0,0
19hpf,28.15,0,0,23.74,0,0,0,0,1.93
24hpf,2.6,0,0,0,0,0,0,0,0
2dpf,116.83,0,3.71,17.88,3.67,5.56,1.39,3.08,23.62
3dpf,144.9,0,0,7.15,0.43,5.78,0,0.42,0
5dpf,55.24,0.5,1,5.11,0.97,1.51,0.44,0.75,2.01
10dpf,141.83,0.61,1.78,6.75,1.79,24.91,1.17,1.8,3.45
