stage,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,0,0.73,0,3.69
3dpf,0,0.7,0,0,0.42,1.05
5dpf,0.29,1.53,0.99,1.45,0,5.99
10dpf,0,0,1.5,0,0,3.27
