stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,16.78,0,0,0,0,0,0,0,0,0
12hpf,3.78,0,1.79,0,0,0,0,0,1.96,0
14hpf,2.24,0,0,0,0,0,0,0,0,0
16hpf,0,0,2,0,0,0,0,0,0,0
19hpf,6.8,0,0,1.58,2.24,0,0,0,0,1.93
24hpf,1.76,0,0,0,1,0,0,0,0,0.92
2dpf,123.31,0,11.05,16.12,30.93,80.16,8.95,0.54,32.97,25.81
3dpf,465.56,2.92,6.03,9.32,12.35,157.99,5.06,0,10.35,19.01
5dpf,28.5,0.77,14.19,20.36,15.83,83.72,12.87,2.38,13.06,50.57
10dpf,219.35,2.99,10.37,7.34,4.12,35.6,3.57,0,2.89,9.43
