stage,central_nervous_system,endoderm,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,4.92,0,0,2.29,1.48
3dpf,21.7,0,0,0.58,0
5dpf,5.08,0.93,1.65,0.85,0
10dpf,7.54,0,0.42,0,0
