stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,neural_crest
3dpf,0.36,0,0,0,0.61
5dpf,0,0.37,0.55,0.71,1.2
10dpf,3.67,0,0,0,0.72
