stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,687.55,0,0,0,9.29,0,0,0,739.21
12hpf,82.32,0,0,0,29.1,1.88,2.08,10.09,516.17
14hpf,261.96,7.64,5.84,0,2.85,0,0,2.72,346.17
16hpf,51.08,11.34,0,0,1.79,1.97,0,7.66,62.56
19hpf,10.05,0,0,0,0,0,0,0,30.97
24hpf,2.69,0.81,0,0,2.7,0,0,0,5.32
2dpf,16.41,0,1.07,4.05,36.21,90.03,0,5.8,21.58
3dpf,5,1.37,0.48,2.54,2.23,174.59,0.3,1.1,5.65
5dpf,4.75,0.38,2.2,6,4.72,150.95,0.72,2.76,17.69
10dpf,4.83,0,0,2.77,0,32.88,0,1.41,1.79
