stage,central_nervous_system,endoderm,hematopoietic_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,paraxial_mesoderm,periderm
10hpf,9.54,0,0,0,0,0,0,0,0
12hpf,1.94,22.45,0,0,6.81,0,0,21.99,0
14hpf,8.13,0,0,6.8,7.2,0,0,5.24,4.95
16hpf,12.81,2.12,102.67,13.95,58.76,0,0,14.36,1.78
19hpf,6.57,0,20.24,8.87,76.29,0,0,9.23,0
24hpf,10.15,1.48,72.78,0,89.2,0,0,22.99,0.94
2dpf,102.74,0,7.96,9.45,34.69,23.83,2.03,3.04,9.52
3dpf,246.44,0.53,12.49,1.93,3.91,23.51,0.96,0,5.22
5dpf,49.25,3.8,9.77,5.07,3.75,53.67,1.73,1.12,12.17
10dpf,152.48,0.81,67.77,6.88,2.97,28.1,4.88,2.28,3.81
