stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,0,0,1.6,0,0.75,0,1.41
3dpf,2.21,0,0,0,0.36,0,0
5dpf,0.3,0,0,0.5,0,0,0.34
10dpf,0.85,0.37,0,0,0,1.96,0
