stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,notochord,paraxial_mesoderm,periderm
10hpf,0,17.38,0,0,0,0,0,10.25,0
12hpf,62.24,43.19,0,0,0,0,17.68,11.07,4.37
14hpf,7.82,3.59,0,0,2.27,0,16.99,12.14,5.59
16hpf,1.7,28.35,0,0,0,0,9.66,7.37,6.21
19hpf,3.66,0,0,1.65,1.82,0,2.9,1.72,5.11
24hpf,6.32,1.08,0.84,2.05,0,0,0,1.75,0
2dpf,32.07,0,0,6.27,5.39,4.99,0,4.33,27.04
3dpf,25.11,0,0,0.82,5.26,0.52,0,0,8.12
5dpf,13.53,0.96,0.89,0,4.86,0,0,4.84,27.43
10dpf,6.04,0,0,0,0.41,0,0,0,0
