stage,central_nervous_system,hematopoietic_system,intermediate_mesoderm,mesenchyme,paraxial_mesoderm
16hpf,0,0,0,0,1.94
24hpf,0.88,0,0,0,0
2dpf,2.38,0,0,0,0
3dpf,36.93,0,1.39,8.13,1.07
5dpf,0,1.13,12.01,2.59,1.87
10dpf,15.53,0,8.57,3.71,0
