stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,mesenchyme,paraxial_mesoderm,periderm
2dpf,22.77,0,0,4.57,4.3,1.28
3dpf,0.41,0,1.17,2.16,0.71,0.45
5dpf,16.36,1.56,0,8.56,2.17,14.61
10dpf,5.66,0,0.69,6.61,0,2.56
