stage,central_nervous_system,endoderm,lateral_mesoderm,mesenchyme
2dpf,0.66,0,0,0.49
3dpf,0.47,0,0,1.5
5dpf,0.44,1.31,0,1.54
10dpf,0,0,0.88,0
