stage,central_nervous_system,endoderm,hematopoietic_system,mesenchyme,paraxial_mesoderm,periderm
2dpf,0.54,0,0,0,0,16.76
3dpf,0,0,0,0.45,0,5.54
5dpf,0,0,0.42,0,1.11,29.44
10dpf,0.41,0.91,0.43,0,0,5.87
