stage,central_nervous_system,intermediate_mesoderm,lateral_mesoderm,paraxial_mesoderm,periderm
3dpf,1.68,0.42,0,0,1.08
5dpf,0,0,0,0,5.92
10dpf,3.02,0,0.62,0.69,4.96
