stage,central_nervous_system,endoderm,intermediate_mesoderm,lateral_mesoderm,mesenchyme,neural_crest,periderm
2dpf,0,0,0.52,1.68,0,0,0
3dpf,3.08,2.18,1.11,0,0.43,0,0
5dpf,2.37,6.96,4.46,0,2.12,0.66,1.57
10dpf,0,17.07,4.28,0,0,0,0
