stage,central_nervous_system,endoderm,hematopoietic_system,lateral_mesoderm,mesenchyme,paraxial_mesoderm
2dpf,0,0,0,0.53,0,0
3dpf,1.34,2.43,0,0,0.3,0.7
5dpf,0,9.08,0.44,0.57,2.86,0
10dpf,7.68,8.8,0.39,0,0.48,0
